time,X,Y,Z,Vx,Vy,Vz
1.539614,276.004890,990.691880,-535.161686,-56.127269,-11.219022,107.791319
1.549612,275.444702,990.579415,-534.085853,-55.939018,-11.279386,107.430370
1.559609,274.886389,990.466348,-533.013615,-55.752013,-11.339673,107.071811
1.569607,274.329938,990.352679,-531.944948,-55.566245,-11.399883,106.715624
1.579604,273.775338,990.238408,-530.879830,-55.381705,-11.460020,106.361795
1.589602,273.222578,990.123536,-529.818238,-55.198380,-11.520083,106.010297
1.599599,272.671643,990.008064,-528.760147,-55.016242,-11.580069,105.661076
1.609597,272.122524,989.891993,-527.705538,-54.835238,-11.639970,105.314030
1.619594,271.575210,989.775323,-526.654388,-54.655293,-11.699774,104.969017
1.629592,271.029689,989.658056,-525.606677,-54.476354,-11.759472,104.625933
1.639589,270.485952,989.540193,-524.562386,-54.298464,-11.819076,104.284862
1.649587,269.943988,989.421734,-523.521495,-54.121639,-11.878591,103.945832
1.659584,269.403787,989.302681,-522.483984,-53.945858,-11.938016,103.608809
1.669582,268.865338,989.183034,-521.449832,-53.771117,-11.997354,103.273777
1.679579,268.328631,989.062794,-520.419019,-53.597407,-12.056604,102.940726
1.689577,267.793655,988.941963,-519.391527,-53.424724,-12.115768,102.609643
1.699574,267.260401,988.820540,-518.367335,-53.253060,-12.174848,102.280516
1.709572,266.728859,988.698527,-517.346425,-53.082409,-12.233844,101.953334
1.719569,266.199018,988.575924,-516.328777,-52.912766,-12.292759,101.628084
1.729567,265.670868,988.452733,-515.314371,-52.744124,-12.351593,101.304755
1.739564,265.144399,988.328954,-514.303189,-52.576477,-12.410348,100.983334
1.749562,264.619602,988.204588,-513.295211,-52.409819,-12.469025,100.663811
1.759559,264.096465,988.079635,-512.290417,-52.244143,-12.527625,100.346172
1.769557,263.574980,987.954098,-511.288789,-52.079443,-12.586150,100.030406
1.779554,263.055136,987.827975,-510.290307,-51.915714,-12.644600,99.716501
1.789552,262.536925,987.701269,-509.294956,-51.752949,-12.702978,99.404449
1.799549,262.020336,987.573979,-508.302717,-51.591144,-12.761283,99.094236
1.809547,261.505362,987.446106,-507.313571,-51.430292,-12.819518,98.785852
1.819544,260.991991,987.317652,-506.327499,-51.270387,-12.877683,98.479284
1.829541,260.480214,987.188616,-505.344484,-51.111424,-12.935780,98.174523
1.839539,259.970021,987.059000,-504.364506,-50.953395,-12.993810,97.871556
